date,store_id,product_id,demand,category,region,price,discount,weather,holiday,season,inventory,sold,ordered,competitor_price
2022-01-01,S001,P0001,135.47,Groceries,North,33.5,20.0,Rainy,0,Autumn,231,127,55,29.69
2022-01-02,S001,P0001,92.94,Groceries,West,27.95,10.0,Cloudy,0,Spring,116,81,104,30.89
2022-01-03,S001,P0001,5.36,Electronics,West,62.7,20.0,Rainy,0,Winter,154,5,189,58.22
2022-01-04,S001,P0001,52.87,Groceries,South,77.88,15.0,Cloudy,1,Winter,85,58,193,75.99
2022-01-05,S001,P0001,150.27,Groceries,South,28.46,20.0,Sunny,1,Winter,238,147,37,29.4
2022-01-06,S001,P0001,39.09,Electronics,East,91.05,5.0,Snowy,0,Summer,198,37,155,87.3
2022-01-07,S001,P0001,117.92,Furniture,North,53.99,10.0,Sunny,1,Winter,195,107,106,58.8
2022-01-08,S001,P0001,0.84,Furniture,East,66.3,20.0,Cloudy,1,Winter,231,2,119,63.82
2022-01-09,S001,P0001,352.24,Electronics,South,41.72,0.0,Sunny,1,Summer,373,350,178,38.68
2022-01-10,S001,P0001,39.5,Electronics,West,32.68,5.0,Snowy,1,Summer,327,36,132,34.71
2022-01-11,S001,P0001,16.11,Furniture,West,27.53,5.0,Rainy,1,Autumn,101,16,193,27.08
2022-01-12,S001,P0001,100.32,Toys,South,92.92,0.0,Snowy,0,Winter,145,104,189,97.59
2022-01-13,S001,P0001,78.64,Furniture,East,17.27,15.0,Snowy,1,Spring,110,80,190,21.79
2022-01-14,S001,P0001,193.23,Toys,North,90.05,20.0,Snowy,0,Winter,199,177,44,87.05
2022-01-15,S001,P0001,170.06,Groceries,North,98.04,10.0,Rainy,1,Spring,290,176,94,98.2
2022-01-16,S001,P0001,114.65,Groceries,East,11.39,15.0,Snowy,0,Winter,104,97,189,7.96
2022-01-17,S001,P0001,73.59,Groceries,East,95.27,0.0,Rainy,1,Summer,134,69,95,92.6
2022-01-18,S001,P0001,134.0,Electronics,North,90.7,15.0,Sunny,0,Spring,339,123,157,86.51
2022-01-19,S001,P0001,228.92,Groceries,West,97.97,10.0,Cloudy,0,Summer,431,211,139,95.06
2022-01-20,S001,P0001,90.49,Furniture,North,10.38,0.0,Cloudy,0,Spring,154,79,113,11.46
2022-01-21,S001,P0001,401.1,Clothing,South,13.1,15.0,Snowy,1,Summer,430,390,195,15.14
2022-01-22,S001,P0001,181.42,Electronics,North,87.64,0.0,Snowy,1,Spring,450,191,197,91.45
2022-01-23,S001,P0001,69.99,Furniture,West,22.65,15.0,Cloudy,0,Spring,118,79,155,25.19
2022-01-24,S001,P0001,17.87,Toys,South,76.71,15.0,Snowy,1,Summer,115,9,132,75.85
2022-01-25,S001,P0001,185.83,Furniture,East,18.35,15.0,Rainy,1,Autumn,348,189,122,22.01
2022-01-26,S001,P0001,50.62,Clothing,South,59.48,5.0,Sunny,1,Winter,200,49,101,55.45
2022-01-27,S001,P0001,180.45,Furniture,South,93.34,0.0,Cloudy,0,Winter,410,164,116,94.33
2022-01-28,S001,P0001,115.96,Furniture,East,53.25,20.0,Cloudy,1,Autumn,158,97,82,49.95
2022-01-29,S001,P0001,48.79,Furniture,South,88.06,15.0,Snowy,1,Autumn,154,47,124,92.84
2022-01-30,S001,P0001,148.26,Furniture,West,68.76,10.0,Snowy,0,Spring,498,130,63,73.29
2022-01-31,S001,P0001,212.24,Clothing,West,70.78,0.0,Sunny,1,Summer,410,200,152,68.88
2022-02-01,S001,P0001,297.26,Groceries,East,34.49,0.0,Sunny,0,Summer,419,279,84,33.85
2022-02-02,S001,P0001,53.13,Electronics,South,52.49,5.0,Cloudy,0,Autumn,415,38,149,48.25
2022-02-03,S001,P0001,84.02,Clothing,South,27.71,20.0,Rainy,1,Winter,345,71,186,28.96
2022-02-04,S001,P0001,37.72,Furniture,South,16.84,15.0,Cloudy,0,Autumn,121,25,25,12.53
2022-02-05,S001,P0001,362.43,Groceries,South,51.44,15.0,Snowy,0,Summer,458,350,182,51.54
2022-02-06,S001,P0001,81.06,Electronics,North,68.85,5.0,Cloudy,1,Spring,167,69,92,71.82
2022-02-07,S001,P0001,73.41,Electronics,South,11.34,5.0,Rainy,0,Spring,244,62,105,9.63
2022-02-08,S001,P0001,15.6,Toys,West,67.64,10.0,Cloudy,0,Spring,140,12,48,69.12
2022-02-09,S001,P0001,22.37,Groceries,South,90.55,0.0,Rainy,0,Autumn,209,16,143,90.2
2022-02-10,S001,P0001,229.08,Clothing,South,89.58,5.0,Rainy,0,Spring,311,237,102,91.4
2022-02-11,S001,P0001,198.49,Electronics,East,19.93,0.0,Sunny,0,Autumn,216,203,34,24.88
2022-02-12,S001,P0001,48.16,Toys,South,64.4,15.0,Sunny,1,Autumn,358,29,54,61.19
2022-02-13,S001,P0001,143.55,Clothing,North,85.19,10.0,Rainy,0,Spring,229,149,161,85.28
2022-02-14,S001,P0001,256.33,Clothing,North,97.41,10.0,Snowy,1,Winter,429,259,156,93.97
2022-02-15,S001,P0001,115.57,Furniture,North,51.27,5.0,Snowy,0,Winter,126,111,32,53.8
2022-02-16,S001,P0001,372.09,Electronics,West,65.22,10.0,Rainy,1,Autumn,373,373,91,66.25
2022-02-17,S001,P0001,27.62,Furniture,West,49.34,5.0,Rainy,1,Spring,82,31,146,51.94
